id,name,type
abli,Abraham Lincoln Birthplace National Historical Park,National Historical Park
acad,Acadia National Park,National Park
adam,Adams National Historical Park,National Historical Park
afam,African American Civil War Memorial,
afbg,African Burial Ground National Monument,National Monument
agfo,Agate Fossil Beds National Monument,National Monument
alka,Ala Kahakai National Historic Trail,National Historic Trail
alag,Alagnak Wild River,Wild River
anch,Alaska Public Lands,
alca,Alcatraz Island,
aleu,Aleutian World War II National Historic Area,National Historic Area
alfl,Alibates Flint Quarries National Monument,National Monument
alpo,Allegheny Portage Railroad National Historic Site,National Historic Site
amme,American Memorial Park,Park
amis,Amistad National Recreation Area,National Recreation Area
anac,Anacostia Park,Park
ande,Andersonville National Historic Site,National Historic Site
anjo,Andrew Johnson National Historic Site,National Historic Site
ania,Aniakchak National Monument & Preserve,National Monument & Preserve
anti,Antietam National Battlefield,National Battlefield
apis,Apostle Islands National Lakeshore,National Lakeshore
appa,Appalachian National Scenic Trail,National Scenic Trail
apco,Appomattox Court House National Historical Park,National Historical Park
armo,Arabia Mountain National Heritage Area,National Heritage Area
arch,Arches National Park,National Park
arpo,Arkansas Post National Memorial,National Memorial
arho,"Arlington House, The Robert E. Lee Memorial",
asis,Assateague Island National Seashore,National Seashore
attr,Atchafalaya National Heritage Area,National Heritage Area
auca,Augusta Canal National Heritage Area,National Heritage Area
azru,Aztec Ruins National Monument,National Monument
badl,Badlands National Park,National Park
balt,Baltimore National Heritage Area,National Heritage Area
bawa,Baltimore-Washington Parkway,Parkway
band,Bandelier National Monument,National Monument
bepa,Belmont-Paul Women's Equality National Monument,National Monument
beol,Bent's Old Fort National Historic Site,National Historic Site
bela,Bering Land Bridge National Preserve,National Preserve
bibe,Big Bend National Park,National Park
bicy,Big Cypress National Preserve,National Preserve
biho,Big Hole National Battlefield,National Battlefield
biso,Big South Fork National River & Recreation Area,National River & Recreation Area
bith,Big Thicket National Preserve,National Preserve
bica,Bighorn Canyon National Recreation Area,National Recreation Area
bicr,Birmingham Civil Rights National Monument,National Monument
bisc,Biscayne National Park,National Park
blca,Black Canyon Of The Gunnison National Park,National Park
blrv,Blackstone River Valley National Historical Park,National Historical Park
blrn,Blue Ridge National Heritage Area,National Heritage Area
blri,Blue Ridge Parkway,Parkway
blue,Bluestone National Scenic River,National Scenic River
bowa,Booker T Washington National Monument,National Monument
boaf,Boston African American National Historic Site,National Historic Site
boha,Boston Harbor Islands National Recreation Area,National Recreation Area
bost,Boston National Historical Park,National Historical Park
brcr,Brices Cross Roads National Battlefield Site,National Battlefield Site
brvb,Brown v. Board of Education National Historic Site,National Historic Site
brca,Bryce Canyon National Park,National Park
buis,Buck Island Reef National Monument,National Monument
buff,Buffalo National River,National River
cabr,Cabrillo National Monument,National Monument
cali,California National Historic Trail,National Historic Trail
cana,Canaveral National Seashore,National Seashore
cari,Cane River Creole National Historical Park,National Historical Park
crha,Cane River National Heritage Area,National Heritage Area
cach,Canyon de Chelly National Monument,National Monument
cany,Canyonlands National Park,National Park
caco,Cape Cod National Seashore,National Seashore
caha,Cape Hatteras National Seashore,National Seashore
came,Cape Henry Memorial Part of Colonial National Historical Park,Part of Colonial National Historical Park
cakr,Cape Krusenstern National Monument,National Monument
calo,Cape Lookout National Seashore,National Seashore
cahi,Capitol Hill Parks,
care,Capitol Reef National Park,National Park
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail
cavo,Capulin Volcano National Monument,National Monument
carl,Carl Sandburg Home National Historic Site,National Historic Site
cave,Carlsbad Caverns National Park,National Park
cawo,Carter G. Woodson Home National Historic Site,National Historic Site
cagr,Casa Grande Ruins National Monument,National Monument
casa,Castillo de San Marcos National Monument,National Monument
cacl,Castle Clinton National Monument,National Monument
camo,Castle Mountains National Monument,National Monument
cato,Catoctin Mountain Park,Park
cebr,Cedar Breaks National Monument,National Monument
cebe,Cedar Creek & Belle Grove National Historical Park,National Historical Park
chcu,Chaco Culture National Historical Park,National Historical Park
cham,Chamizal National Memorial,National Memorial
chva,Champlain Valley National Heritage Partnership,National Heritage Partnership
chis,Channel Islands National Park,National Park
chpi,Charles Pinckney National Historic Site,National Historic Site
chyo,Charles Young Buffalo Soldiers National Monument,National Monument
chat,Chattahoochee River National Recreation Area,National Recreation Area
choh,Chesapeake & Ohio Canal National Historical Park,National Historical Park
cbpo,Chesapeake Bay,
chch,Chickamauga & Chattanooga National Military Park,National Military Park
chic,Chickasaw National Recreation Area,National Recreation Area
chir,Chiricahua National Monument,National Monument
chri,Christiansted National Historic Site,National Historic Site
ciro,City Of Rocks National Reserve,National Reserve
cwdw,Civil War Defenses of Washington,
clba,Clara Barton National Historic Site,National Historic Site
clmo,Claude Moore Colonial Farm,
coal,Coal National Heritage Area,National Heritage Area
colo,Colonial National Historical Park,National Historical Park
colm,Colorado National Monument,National Monument
colt,Coltsville National Historical Park, National Historical Park
cong,Congaree National Park,National Park
coga,Constitution Gardens,
coro,Coronado National Memorial,National Memorial
cowp,Cowpens National Battlefield,National Battlefield
crla,Crater Lake National Park,National Park
crmo,Craters Of The Moon National Monument & Preserve,National Monument & Preserve
xrds,Crossroads of the American Revolution National Heritage Area,National Heritage Area
cuga,Cumberland Gap National Historical Park,National Historical Park
cuis,Cumberland Island National Seashore,National Seashore
cure,Curecanti National Recreation Area,National Recreation Area
cuva,Cuyahoga Valley National Park,National Park
cech,C�sar E. Ch�vez National Monument,National Monument
dabe,David Berger National Memorial,National Memorial
daav,Dayton Aviation Heritage National Historical Park,National Historical Park
deso,De Soto National Memorial,National Memorial
deva,Death Valley National Park,National Park
dele,Delaware & Lehigh National Heritage Corridor,National Heritage Corridor
dewa,Delaware Water Gap National Recreation Area,National Recreation Area
dena,Denali National Park & Preserve,National Park & Preserve
depo,Devils Postpile National Monument,National Monument
deto,Devils Tower National Monument,National Monument
dino,Dinosaur National Monument,National Monument
drto,Dry Tortugas National Park,National Park
ebla,Ebey's Landing National Historical Reserve,National Historical Reserve
edal,Edgar Allan Poe National Historic Site,National Historic Site
efmo,Effigy Mounds National Monument,National Monument
eise,Eisenhower National Historic Site,National Historic Site
elte,El Camino Real de los Tejas National Historic Trail,National Historic Trail
elca,El Camino Real de Tierra Adentro National Historic Trail,National Historic Trail
elma,El Malpais National Monument,National Monument
elmo,El Morro National Monument,National Monument
elro,Eleanor Roosevelt National Historic Site,National Historic Site
elis,Ellis Island Part of Statue of Liberty National Monument,Part of Statue of Liberty National Monument
erie,Erie Canalway National Heritage Corridor,National Heritage Corridor
esse,Essex National Heritage Area,National Heritage Area
euon,Eugene O'Neill National Historic Site,National Historic Site
ever,Everglades National Park,National Park
fati,Fallen Timbers Battlefield and Fort Miamis National Historic Site,National Historic Site
feha,Federal Hall National Memorial,National Memorial
fiis,Fire Island National Seashore,National Seashore
fila,First Ladies National Historic Site,National Historic Site
frst,First State National Historical Park,National Historical Park
flni,Flight 93 National Memorial,National Memorial
flfo,Florissant Fossil Beds National Monument,National Monument
foth,Ford's Theatre,
fobo,Fort Bowie National Historic Site,National Historic Site
foca,Fort Caroline National Memorial,Ecological & Historic Preserve
foda,Fort Davis National Historic Site,National Historic Site
fodo,Fort Donelson National Battlefield,National Battlefield
fodu,Fort Dupont Park,
fofo,Fort Foote Park,Park
fofr,Fort Frederica National Monument,National Monument
fola,Fort Laramie National Historic Site,National Historic Site
fols,Fort Larned National Historic Site,National Historic Site
foma,Fort Matanzas National Monument,National Monument
fomc,Fort McHenry National Monument and Historic Shrine,National Monument and Historic Shrine
fomr,Fort Monroe National Monument,National Monument
fone,Fort Necessity National Battlefield,National Battlefield
fopo,Fort Point National Historic Site,National Historic Site
fopu,Fort Pulaski National Monument,National Monument
fora,Fort Raleigh National Historic Site,National Historic Site
fosc,Fort Scott National Historic Site,National Historic Site
fosm,Fort Smith National Historic Site,National Historic Site
fost,Fort Stanwix National Monument,National Monument
fosu,Fort Sumter National Monument,National Monument
foun,Fort Union National Monument,National Monument
fous,Fort Union Trading Post National Historic Site,National Historic Site
fova,Fort Vancouver National Historic Site,National Historic Site
fowa,Fort Washington Park,Park
fobu,Fossil Butte National Monument,National Monument
frde,Franklin Delano Roosevelt Memorial,
frdo,Frederick Douglass National Historic Site,National Historic Site
frla,Frederick Law Olmsted National Historic Site,National Historic Site
frsp,Fredericksburg & Spotsylvania National Military Park,National Military Park
frri,Freedom Riders National Monument,National Monument
frwa,Freedom's Way National Heritage Area,National Heritage Area
frhi,Friendship Hill National Historic Site,National Historic Site
gaar,Gates Of The Arctic National Park & Preserve,National Park & Preserve
gate,Gateway National Recreation Area,National Recreation Area
gari,Gauley River National Recreation Area,National Recreation Area
gegr,General Grant National Memorial,National Memorial
gero,George Rogers Clark National Historical Park,National Historical Park
gewa,George Washington Birthplace National Monument,National Monument
gwca,George Washington Carver National Monument,National Monument
