name,size
BANDELIER NM NM IM ,"33,676.67"
BADLANDS NP SD MW ,"242,755.94"
BENT'S OLD FORT NHS CO IM ,798.8
BELMONT-PAUL WOMENS EQLTY NM DC NC ,0.34
AZTEC RUINS NM NM IM ,318.4
ARKANSAS POST NMEM AR MW ,757.51
ASSATEAGUE ISLAND NS MD-VA ,"41,346.50"
ARL HOUSE,28.08
BIG BEND NP TX IM ,"801,163.21"
BERING LAND BRIDGE N PRES AK A ,"2,697,391.01"
BIG CYPRESS ADDITION FL ,"146,110.69"
ALAGNAK WILD RVR AK A ,"30,664.79"
AGATE FOSSIL BEDS NM NE MW ,"3,057.87"
ALLEGHENY PRTGE RR NHS PA NE ,"1,284.27"
ALIBATES FLINT QUARRIES N TX IM ,"1,370.97"
AFRICAN BURIAL GROUND NM NY NE ,0.35
A LINCOLN BIRTHPL NHP KY SE ,344.5
ARCHES NP UT IM ,"76,678.98"
ADAMS NHP MA NE ,23.82
ACADIA NP ME NE ,"49,057.36"
APOSTLE ISLANDS NL WI MW ,"69,377.43"
ANTIETAM NB MD NC ,"3,230.38"
APPOMATTOX CRT HS NHP VA NE ,"1,774.12"
APPALACHIAN NS TRAIL ME TO GA ,"236,739.33"
ANIAKCHAK NM AK A ,"137,176.00"
ANDERSONVILLE NHS GA SE ,515.61
AMISTAD NRA TX IM ,"58,500.00"
ANIAKCHAK N PRESERVE AK A ,"464,117.93"
ANDREW JOHNSON NHS TN SE ,16.68
CANAVERAL NS FL SE ,"57,661.69"
CABRILLO NM CA PW ,159.94
CANYON DE CHELLY NM AZ IM ,"83,840.00"
CANE RIVER CREOLE NHP LA SE ,205.5
BUCK ISLAND REEF NM VI SE ,"19,015.47"
C & O CANAL NHP MD-DC-WV NC ,"19,612.37"
BUFFALO N RVR AR MW ,"94,293.31"
CANYONLANDS NP UT IM ,"337,597.83"
CAPITOL REEF NP UT IM ,"241,904.26"
CAPE HATTERAS NS NC SE ,"30,350.65"
CAPE COD NS MA NE ,"43,608.43"
CAPE LOOKOUT NS NC SE ,"28,243.36"
CAPE KRUSENSTERN NM AK A ,"649,096.15"
BIGHORN CANYON NRA MT-WY IM ,"120,296.22"
BIG THICKET N PRESERVE TX IM ,"112,500.81"
BLACK CANYON OF GUNNISON NP CO IM ,"30,749.75"
BISCAYNE NP FL SE ,"172,971.11"
BIG CYPRESS N PRESERVE FL ,"574,453.32"
BRYCE CANYON NP UT IM ,"35,835.08"
BIG SOUTH FORK NR & RA KY-TN SE ,"123,694.10"
BIG HOLE NB MT PW ,975.61
BLACKSTONE RIVER VALLEY NHP MA-RI NE ,"1,489.00"
BOSTON NHP MA NE ,43.82
BOSTON HARBOR ISLAND NRA MA NE ,"1,482.31"
BROWN V,1.85
BRICES CROSS RDS NBS MS SE ,1
BLUESTONE NSR WV NE ,"4,309.51"
BLUE RIDGE PKWY NC-VA NT ,"98,774.04"
BOSTON AFRI-AMER NHS MA NE ,0.59
BOOKER T WASHINGTON NM VA NE ,239.01
CHRISTIANSTED NHS VI SE ,27.15
CHIRICAHUA NM AZ IM ,"12,024.73"
CLARA BARTON NHS MD NC ,8.59
CITY OF ROCKS NRESERVE ID PW ,"14,407.19"
CHATTAHOOCHEE RVR NRA GA SE ,"10,550.06"
CHICKASAW NRA OK IM ,"9,898.63"
CHICK & CHATT NMP GA-TN SE ,"9,077.65"
COLONIAL NHP VA NE ,"8,676.91"
COWPENS NB SC SE ,841.56
CONGAREE NP SC SE ,"26,275.82"
COLORADO NM CO IM ,"20,536.39"
CORONADO NMEM AZ IM ,"4,830.22"
CONSTITUTION GARDENS DC NC ,39.23
CASA GRANDE RUINS NM AZ IM ,472.5
CARTER G,0.15
CASTLE CLINTON NM NY NE ,1
CASTILLO DE SAN MARCOS NM FL SE ,19.38
CAPULIN VOLCANO NM NM IM ,792.84
CHARLES YOUNG BUFF SOLDRS NM OH MW ,59.66
CARLSBAD CAVERNS NP NM IM ,"46,766.45"
CARL SANDBURG HOME NHS NC SE ,263.65
CASTLE MOUNTAINS NM CA PW ,"21,025.50"
CHAMIZAL NMEM TX IM ,54.9
CHACO CULTURE NHP NM IM ,"33,960.19"
CHARLES PINCKNEY NHS SC SE ,28.45
CHANNEL ISLANDS NP CA PW ,"249,561.00"
CEDAR BREAKS NM UT IM ,"6,154.60"
CATOCTIN MT PARK MD NC ,"5,891.49"
C,116.56
CEDAR CREEK,"3,706.20"
EISENHOWER NHS PA NE ,690.46
EFFIGY MOUNDS NM IA MW ,"2,526.39"
EL MORRO NM NM IM ,"1,278.72"
EL MALPAIS NM NM IM ,"114,347.11"
DRY TORTUGAS NP FL SE ,"64,701.22"
EDGAR ALLAN POE NHS PA NE ,0.52
EBEY'S LANDING NH RES WA PW ,"19,333.01"
ELEANOR ROOSEVELT NHS NY NE ,180.5
FEDERAL HALL NMEM NY NE ,0.45
EVERGLADES EXPANSION FL ,"108,428.75"
EUGENE O'NEILL NHS CA PW ,13.19
FDR MEMORIAL DC NC ,8.14
EVERGLADES NP FL ,"1,400,539.30"
CUMBERLAND ISLAND NS GA SE ,"36,346.83"
CUMBERLAND GAP NHP KY-TN-VA SE ,"24,546.83"
CUYAHOGA VALLEY NP OH MW ,"32,572.35"
CURECANTI NRA CO ,"43,094.72"
CRATER LAKE NP OR PW ,"183,224.05"
DINOSAUR NM CO-UT IM ,"210,281.92"
CRATERS OF THE MOON NPRES ID PW ,"410,732.92"
CRATERS OF THE MOON NM ID PW ,"53,571.05"
DAYTON AVIATION HR NHP OH MW ,110.52
DENALI NP AK A ,"4,740,911.16"
DENALI N PRESERVE AK A ,"1,334,117.80"
DEVILS TOWER NM WY IM ,"1,347.21"
DEVILS POSTPILE NM CA PW ,800.19
DEATH VALLEY NP CA-NV PW ,"3,373,063.14"
DE SOTO NMEM FL SE ,30
DELAWARE NSR NJ-PA NE ,"1,973.33"
